xL,x_cm,MG_lineal,MG_dB,MF_deg,gamma_crit,ganancia_amplificador_dB,Mp,Mp_pasivo,Mp_dB,wp_radps,w_low_radps,w_high_radps,wb_radps,Q_control,cutoff_dBdec
0.1,0.25,2.8119701785101237,8.980214211897614,39.37590192819678,2.8119701785101237,3.448925865709798,0.000605119759987752,0.0004293694075065223,-64.36317330183644,320351.23795273434,225404.84187996548,450986.4991147558,225581.6572347903,1.4201120865926868,-20.64855104911725
0.3,0.75,3.157198209575889,9.986036956963197,33.791929169022836,3.157198209575889,3.1513315641003037,0.0015456072415106364,0.001124058974541134,-56.21801712316866,118889.57811591611,82338.6801106779,170042.56185529078,87703.88174461288,1.3555794310463205,-20.0844560853438
0.5,1.25,3.477758418964245,10.825988212593822,32.64253062243915,3.477758418964245,2.7483317255169437,0.0036811412185068794,0.002779962832631332,-48.68035043051863,43844.031148704555,29140.105701750057,65758.89224892575,36618.786547175696,1.197309776833283,-20.0102352822143
0.7,1.75,3.5831315689733025,11.085255106275191,35.620952927865915,3.5831315689733025,2.0847488853832328,0.007556455785858974,0.006079143828240748,-42.43363708881671,16168.776925882885,9527.846432683176,27265.21346550289,17737.36703281971,0.9115657862841513,-20.000849269264755
0.9,2.25,3.219430222313383,10.155580333289313,44.77794617001203,3.219430222313383,1.269582811128251,0.01239030173553187,0.010811423333036722,-38.13836234627878,5943.8592541803455,2609.0302817794573,13413.18402338368,10804.153741604223,0.5501457491568228,-19.99981892484647
